$1000 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$1500 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$1600 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$1700 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$1725 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$1750 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$1775 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$1800 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$1825 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$1850 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$1875 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$1900 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$1925 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$1950 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$1975 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$2000 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$2025 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$2050 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$2075 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$2100 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$2125 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$2150 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$2175 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$2200 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$2225 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$2250 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$2275 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$2300 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$2325 $ , $4.4063 \cdot 10^{-9} $ , $1.0355 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$2350 $ , $4.2245 \cdot 10^{-9} $ , $1.0034 \cdot 10^{-5} $ , $2.3829 \cdot 10^{-2} $ , $5.6594 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$2375 $ , $4.0499 \cdot 10^{-9} $ , $9.7196 \cdot 10^{-6} $ , $2.3328 \cdot 10^{-2} $ , $5.5985 \cdot 10^{1} $ , $1.3437 \cdot 10^{5} $ 
$2400 $ , $3.8821 \cdot 10^{-9} $ , $9.4139 \cdot 10^{-6} $ , $2.2829 \cdot 10^{-2} $ , $5.5360 \cdot 10^{1} $ , $1.3425 \cdot 10^{5} $ 
$2425 $ , $3.7208 \cdot 10^{-9} $ , $9.1159 \cdot 10^{-6} $ , $2.2334 \cdot 10^{-2} $ , $5.4719 \cdot 10^{1} $ , $1.3406 \cdot 10^{5} $ 
$2450 $ , $3.5659 \cdot 10^{-9} $ , $8.8255 \cdot 10^{-6} $ , $2.1844 \cdot 10^{-2} $ , $5.4062 \cdot 10^{1} $ , $1.3381 \cdot 10^{5} $ 
$2475 $ , $3.4171 \cdot 10^{-9} $ , $8.5427 \cdot 10^{-6} $ , $2.1357 \cdot 10^{-2} $ , $5.3392 \cdot 10^{1} $ , $1.3348 \cdot 10^{5} $ 
$2500 $ , $3.2742 \cdot 10^{-9} $ , $8.2674 \cdot 10^{-6} $ , $2.0876 \cdot 10^{-2} $ , $5.2710 \cdot 10^{1} $ , $1.3310 \cdot 10^{5} $ 
$2525 $ , $3.1371 \cdot 10^{-9} $ , $7.9994 \cdot 10^{-6} $ , $2.0399 \cdot 10^{-2} $ , $5.2016 \cdot 10^{1} $ , $1.3265 \cdot 10^{5} $ 
$2550 $ , $3.0054 \cdot 10^{-9} $ , $7.7387 \cdot 10^{-6} $ , $1.9928 \cdot 10^{-2} $ , $5.1313 \cdot 10^{1} $ , $1.3213 \cdot 10^{5} $ 
$2575 $ , $2.8789 \cdot 10^{-9} $ , $7.4851 \cdot 10^{-6} $ , $1.9462 \cdot 10^{-2} $ , $5.0600 \cdot 10^{1} $ , $1.3156 \cdot 10^{5} $ 
$2600 $ , $2.7576 \cdot 10^{-9} $ , $7.2385 \cdot 10^{-6} $ , $1.9001 \cdot 10^{-2} $ , $4.9878 \cdot 10^{1} $ , $1.3093 \cdot 10^{5} $ 
$2625 $ , $2.6411 \cdot 10^{-9} $ , $6.9988 \cdot 10^{-6} $ , $1.8547 \cdot 10^{-2} $ , $4.9149 \cdot 10^{1} $ , $1.3025 \cdot 10^{5} $ 
$2650 $ , $2.5293 \cdot 10^{-9} $ , $6.7659 \cdot 10^{-6} $ , $1.8099 \cdot 10^{-2} $ , $4.8414 \cdot 10^{1} $ , $1.2951 \cdot 10^{5} $ 
$2675 $ , $2.4221 \cdot 10^{-9} $ , $6.5397 \cdot 10^{-6} $ , $1.7657 \cdot 10^{-2} $ , $4.7674 \cdot 10^{1} $ , $1.2872 \cdot 10^{5} $ 
$2700 $ , $2.3193 \cdot 10^{-9} $ , $6.3199 \cdot 10^{-6} $ , $1.7222 \cdot 10^{-2} $ , $4.6930 \cdot 10^{1} $ , $1.2789 \cdot 10^{5} $ 
$2725 $ , $2.2206 \cdot 10^{-9} $ , $6.1065 \cdot 10^{-6} $ , $1.6793 \cdot 10^{-2} $ , $4.6181 \cdot 10^{1} $ , $1.2700 \cdot 10^{5} $ 
$2750 $ , $2.1259 \cdot 10^{-9} $ , $5.8993 \cdot 10^{-6} $ , $1.6371 \cdot 10^{-2} $ , $4.5429 \cdot 10^{1} $ , $1.2607 \cdot 10^{5} $ 
$2775 $ , $2.0352 \cdot 10^{-9} $ , $5.6984 \cdot 10^{-6} $ , $1.5956 \cdot 10^{-2} $ , $4.4675 \cdot 10^{1} $ , $1.2509 \cdot 10^{5} $ 
$2800 $ , $1.9481 \cdot 10^{-9} $ , $5.5034 \cdot 10^{-6} $ , $1.5547 \cdot 10^{-2} $ , $4.3920 \cdot 10^{1} $ , $1.2408 \cdot 10^{5} $ 
$2825 $ , $1.8647 \cdot 10^{-9} $ , $5.3142 \cdot 10^{-6} $ , $1.5146 \cdot 10^{-2} $ , $4.3165 \cdot 10^{1} $ , $1.2302 \cdot 10^{5} $ 
$2850 $ , $1.7847 \cdot 10^{-9} $ , $5.1308 \cdot 10^{-6} $ , $1.4752 \cdot 10^{-2} $ , $4.2410 \cdot 10^{1} $ , $1.2193 \cdot 10^{5} $ 
$2875 $ , $1.7080 \cdot 10^{-9} $ , $4.9531 \cdot 10^{-6} $ , $1.4364 \cdot 10^{-2} $ , $4.1655 \cdot 10^{1} $ , $1.2080 \cdot 10^{5} $ 
$2900 $ , $1.6345 \cdot 10^{-9} $ , $4.7807 \cdot 10^{-6} $ , $1.3984 \cdot 10^{-2} $ , $4.0902 \cdot 10^{1} $ , $1.1964 \cdot 10^{5} $ 
$2925 $ , $1.5640 \cdot 10^{-9} $ , $4.6138 \cdot 10^{-6} $ , $1.3611 \cdot 10^{-2} $ , $4.0151 \cdot 10^{1} $ , $1.1845 \cdot 10^{5} $ 
$2950 $ , $1.4965 \cdot 10^{-9} $ , $4.4520 \cdot 10^{-6} $ , $1.3245 \cdot 10^{-2} $ , $3.9403 \cdot 10^{1} $ , $1.1723 \cdot 10^{5} $ 
$2975 $ , $1.4318 \cdot 10^{-9} $ , $4.2953 \cdot 10^{-6} $ , $1.2886 \cdot 10^{-2} $ , $3.8658 \cdot 10^{1} $ , $1.1598 \cdot 10^{5} $ 
$3000 $ , $1.3698 \cdot 10^{-9} $ , $4.1436 \cdot 10^{-6} $ , $1.2535 \cdot 10^{-2} $ , $3.7917 \cdot 10^{1} $ , $1.1470 \cdot 10^{5} $ 
$3025 $ , $1.3104 \cdot 10^{-9} $ , $3.9967 \cdot 10^{-6} $ , $1.2190 \cdot 10^{-2} $ , $3.7180 \cdot 10^{1} $ , $1.1340 \cdot 10^{5} $ 
$3050 $ , $1.2535 \cdot 10^{-9} $ , $3.8545 \cdot 10^{-6} $ , $1.1853 \cdot 10^{-2} $ , $3.6447 \cdot 10^{1} $ , $1.1208 \cdot 10^{5} $ 
$3075 $ , $1.1990 \cdot 10^{-9} $ , $3.7169 \cdot 10^{-6} $ , $1.1523 \cdot 10^{-2} $ , $3.5720 \cdot 10^{1} $ , $1.1073 \cdot 10^{5} $ 
$3100 $ , $1.1468 \cdot 10^{-9} $ , $3.5838 \cdot 10^{-6} $ , $1.1200 \cdot 10^{-2} $ , $3.4998 \cdot 10^{1} $ , $1.0937 \cdot 10^{5} $ 
$3125 $ , $1.0969 \cdot 10^{-9} $ , $3.4550 \cdot 10^{-6} $ , $1.0884 \cdot 10^{-2} $ , $3.4282 \cdot 10^{1} $ , $1.0799 \cdot 10^{5} $ 
$3150 $ , $1.0490 \cdot 10^{-9} $ , $3.3304 \cdot 10^{-6} $ , $1.0574 \cdot 10^{-2} $ , $3.3573 \cdot 10^{1} $ , $1.0660 \cdot 10^{5} $ 
$3175 $ , $1.0031 \cdot 10^{-9} $ , $3.2100 \cdot 10^{-6} $ , $1.0272 \cdot 10^{-2} $ , $3.2870 \cdot 10^{1} $ , $1.0519 \cdot 10^{5} $ 
$3200 $ , $9.5921 \cdot 10^{-10} $ , $3.0935 \cdot 10^{-6} $ , $9.9764 \cdot 10^{-3} $ , $3.2174 \cdot 10^{1} $ , $1.0376 \cdot 10^{5} $ 
$3225 $ , $9.1718 \cdot 10^{-10} $ , $2.9809 \cdot 10^{-6} $ , $9.6877 \cdot 10^{-3} $ , $3.1485 \cdot 10^{1} $ , $1.0233 \cdot 10^{5} $ 
$3250 $ , $8.7695 \cdot 10^{-10} $ , $2.8720 \cdot 10^{-6} $ , $9.4058 \cdot 10^{-3} $ , $3.0804 \cdot 10^{1} $ , $1.0089 \cdot 10^{5} $ 
$3275 $ , $8.3844 \cdot 10^{-10} $ , $2.7669 \cdot 10^{-6} $ , $9.1306 \cdot 10^{-3} $ , $3.0131 \cdot 10^{1} $ , $9.9432 \cdot 10^{4} $ 
$3300 $ , $8.0157 \cdot 10^{-10} $ , $2.6653 \cdot 10^{-6} $ , $8.8619 \cdot 10^{-3} $ , $2.9466 \cdot 10^{1} $ , $9.7974 \cdot 10^{4} $ 
$3325 $ , $7.6629 \cdot 10^{-10} $ , $2.5671 \cdot 10^{-6} $ , $8.5997 \cdot 10^{-3} $ , $2.8809 \cdot 10^{1} $ , $9.6510 \cdot 10^{4} $ 
$3350 $ , $7.3252 \cdot 10^{-10} $ , $2.4723 \cdot 10^{-6} $ , $8.3438 \cdot 10^{-3} $ , $2.8161 \cdot 10^{1} $ , $9.5041 \cdot 10^{4} $ 
$3375 $ , $7.0020 \cdot 10^{-10} $ , $2.3807 \cdot 10^{-6} $ , $8.0943 \cdot 10^{-3} $ , $2.7521 \cdot 10^{1} $ , $9.3570 \cdot 10^{4} $ 
$3400 $ , $6.6928 \cdot 10^{-10} $ , $2.2923 \cdot 10^{-6} $ , $7.8510 \cdot 10^{-3} $ , $2.6890 \cdot 10^{1} $ , $9.2097 \cdot 10^{4} $ 
$3425 $ , $6.3968 \cdot 10^{-10} $ , $2.2069 \cdot 10^{-6} $ , $7.6138 \cdot 10^{-3} $ , $2.6268 \cdot 10^{1} $ , $9.0623 \cdot 10^{4} $ 
$3450 $ , $6.1137 \cdot 10^{-10} $ , $2.1246 \cdot 10^{-6} $ , $7.3827 \cdot 10^{-3} $ , $2.5655 \cdot 10^{1} $ , $8.9151 \cdot 10^{4} $ 
$3475 $ , $5.8428 \cdot 10^{-10} $ , $2.0450 \cdot 10^{-6} $ , $7.1575 \cdot 10^{-3} $ , $2.5051 \cdot 10^{1} $ , $8.7679 \cdot 10^{4} $ 
$3500 $ , $5.5837 \cdot 10^{-10} $ , $1.9683 \cdot 10^{-6} $ , $6.9381 \cdot 10^{-3} $ , $2.4457 \cdot 10^{1} $ , $8.6210 \cdot 10^{4} $ 
$3525 $ , $5.3358 \cdot 10^{-10} $ , $1.8942 \cdot 10^{-6} $ , $6.7244 \cdot 10^{-3} $ , $2.3872 \cdot 10^{1} $ , $8.4745 \cdot 10^{4} $ 
$3550 $ , $5.0986 \cdot 10^{-10} $ , $1.8228 \cdot 10^{-6} $ , $6.5164 \cdot 10^{-3} $ , $2.3296 \cdot 10^{1} $ , $8.3283 \cdot 10^{4} $ 
$3575 $ , $4.8719 \cdot 10^{-10} $ , $1.7539 \cdot 10^{-6} $ , $6.3139 \cdot 10^{-3} $ , $2.2730 \cdot 10^{1} $ , $8.1828 \cdot 10^{4} $ 
$3600 $ , $4.6549 \cdot 10^{-10} $ , $1.6874 \cdot 10^{-6} $ , $6.1168 \cdot 10^{-3} $ , $2.2174 \cdot 10^{1} $ , $8.0379 \cdot 10^{4} $ 
